2025-04-29 11:57:11.646972,-5.46762,2.32099,-2.24399,-3.43853,3.45295,-0.0693347,-0.00149413,0.556575,0.117059,0.956207,-0.0908366,0.252417,0.731696,-0.224812,0.69837,0.0844203,0.982175,0.0293542,-0.165359,0.128966,-0.0642814,0.499483,0.117059,0.956207,-0.0908366,0.252417,
2025-04-29 14:08:14.514228,-5.56955,2.36378,-2.28165,-3.56277,3.65912,-0.0694099,-0.00167637,0.55695,0.116104,0.957074,-0.0862094,0.251192,0.730529,-0.226966,0.700604,0.0462915,0.981081,0.0212528,-0.186775,0.129041,-0.0631344,0.49894,0.116104,0.957074,-0.0862094,0.251192,
2025-04-29 14:08:14.535291,-5.56409,2.3074,-2.25968,-3.54365,3.62965,-0.0693566,-0.00146363,0.556545,0.116813,0.956202,-0.0912268,0.25241,0.730563,-0.227014,0.700728,0.0465179,0.98117,0.0205106,-0.186335,0.128953,-0.0642468,0.499479,0.116813,0.956202,-0.0912268,0.25241,
2025-04-29 14:08:14.556305,-5.54371,2.41862,-2.27549,-3.55453,3.65902,-0.0693562,-0.00174443,0.557045,0.116522,0.957272,-0.0848098,0.250718,0.730579,-0.22701,0.700715,0.0464367,0.981143,0.0203792,-0.186514,0.129051,-0.0630525,0.498728,0.116522,0.957272,-0.0848098,0.250718,
2025-04-29 14:08:14.577347,-5.62608,2.35276,-2.28783,-3.59408,3.66175,-0.0693322,-0.00149038,0.55658,0.117071,0.956217,-0.0908654,0.252362,0.730566,-0.226995,0.700668,0.045925,0.98096,0.0211992,-0.187505,0.12896,-0.0642883,0.499467,0.117071,0.956217,-0.0908654,0.252362,
2025-04-29 14:08:14.598495,-5.39721,2.35007,-2.25983,-3.42821,3.44194,-0.0693595,-0.00175254,0.557033,0.116541,0.957272,-0.0847749,0.250724,0.731864,-0.225018,0.698385,0.084074,0.981668,0.0291084,-0.168557,0.129048,-0.0630598,0.498715,0.116541,0.957272,-0.0847749,0.250724,
2025-04-29 14:08:14.619585,-5.38318,2.40795,-2.23119,-3.45193,3.41707,-0.0693567,-0.00174489,0.557049,0.116514,0.957272,-0.0848814,0.250699,0.731663,-0.224779,0.698338,0.0843416,0.98194,0.030564,-0.166571,0.129046,-0.0630657,0.498729,0.116514,0.957272,-0.0848814,0.250699,
2025-04-29 14:08:14.640489,-5.61322,2.36367,-2.28261,-3.5658,3.66471,-0.0693344,-0.00149299,0.556579,0.117075,0.956209,-0.0908661,0.252392,0.730577,-0.227009,0.700723,0.0463963,0.981149,0.0204785,-0.186481,0.12896,-0.0642924,0.499479,0.117075,0.956209,-0.0908661,0.252392,
2025-04-29 14:08:14.661471,-5.34197,2.39965,-2.21073,-3.4522,3.4009,-0.0693558,-0.00175035,0.557043,0.116496,0.957281,-0.0848035,0.250701,0.731806,-0.224858,0.698133,0.0855763,0.982069,0.0294834,-0.165371,0.129052,-0.0630477,0.498718,0.116496,0.957281,-0.0848035,0.250701,
2025-04-29 14:08:14.682362,-5.6151,2.33324,-2.29348,-3.53937,3.65984,-0.0693351,-0.0014923,0.55658,0.11705,0.956214,-0.0908932,0.252376,0.73056,-0.226999,0.700666,0.045892,0.980972,0.0210495,-0.187467,0.128959,-0.0642888,0.499475,0.11705,0.956214,-0.0908932,0.252376,
2025-04-29 14:08:14.703279,-5.5216,2.38208,-2.2609,-3.56099,3.63247,-0.0693542,-0.00174631,0.557043,0.116513,0.957282,-0.084827,0.250681,0.730513,-0.226971,0.70061,0.0463389,0.981103,0.0214816,-0.186621,0.129048,-0.063055,0.498711,0.116513,0.957282,-0.084827,0.250681,
2025-04-29 14:08:14.724171,-5.57726,2.38695,-2.29954,-3.53614,3.67921,-0.0693524,-0.00174662,0.557042,0.116532,0.957277,-0.0848542,0.250681,0.730622,-0.227032,0.700789,0.046632,0.981091,0.0207057,-0.186698,0.129047,-0.0630679,0.498713,0.116532,0.957277,-0.0848542,0.250681,
2025-04-29 14:08:14.745107,-5.58178,2.33995,-2.26727,-3.56171,3.64246,-0.0693365,-0.00149193,0.556571,0.117083,0.956188,-0.0909307,0.252443,0.73058,-0.227008,0.700719,0.0464836,0.981136,0.0204042,-0.186532,0.128961,-0.0643077,0.499498,0.117083,0.956188,-0.0909307,0.252443,
2025-04-29 14:08:14.765992,-5.35612,2.35725,-2.21308,-3.41521,3.41119,-0.0694097,-0.0016774,0.556952,0.116053,0.957095,-0.0862011,0.251138,0.731704,-0.224808,0.698354,0.0842874,0.98216,0.0292779,-0.165532,0.12904,-0.0631158,0.498918,0.116053,0.957095,-0.0862011,0.251138,
2025-04-29 14:08:14.786819,-5.64306,2.35592,-2.29602,-3.57882,3.68339,-0.0693371,-0.00149099,0.556576,0.117065,0.956193,-0.0908999,0.252442,0.730575,-0.227008,0.70072,0.0465222,0.981136,0.0204478,-0.186522,0.128964,-0.0642938,0.499501,0.117065,0.956193,-0.0908999,0.252442,
2025-04-29 14:08:14.807873,-5.57777,2.40577,-2.29167,-3.53835,3.68237,-0.0693551,-0.0017474,0.557046,0.116537,0.957282,-0.0847896,0.250682,0.730526,-0.226986,0.700665,0.0469099,0.981276,0.020758,-0.18565,0.129047,-0.0630565,0.498712,0.116537,0.957282,-0.0847896,0.250682,
2025-04-29 14:08:14.828702,-5.56931,2.40995,-2.28067,-3.56514,3.66523,-0.0694095,-0.00167529,0.556943,0.116107,0.957089,-0.0863005,0.251103,0.730568,-0.227019,0.700736,0.0465448,0.981159,0.0206346,-0.186375,0.129026,-0.0631547,0.498903,0.116107,0.957089,-0.0863005,0.251103,
2025-04-29 14:08:14.849589,-5.61337,2.37188,-2.28383,-3.5639,3.66465,-0.0693371,-0.00149039,0.556573,0.117088,0.956195,-0.0909061,0.252422,0.73058,-0.227008,0.700722,0.0464466,0.981129,0.020373,-0.186585,0.128958,-0.0643028,0.499489,0.117088,0.956195,-0.0909061,0.252422,
2025-04-29 14:08:14.870512,-5.54778,2.37939,-2.272,-3.52628,3.65112,-0.0694064,-0.00165882,0.557356,0.116362,0.957797,-0.0869148,0.248052,0.730564,-0.227018,0.700725,0.0464965,0.981164,0.0205951,-0.186362,0.128588,-0.0633806,0.498081,0.116362,0.957797,-0.0869148,0.248052,
2025-04-29 14:08:14.891297,-5.63411,2.34384,-2.29287,-3.58592,3.66864,-0.0693338,-0.00148848,0.556582,0.117088,0.956202,-0.0908994,0.252401,0.730562,-0.227001,0.700672,0.045819,0.980977,0.0211606,-0.187446,0.128959,-0.0642995,0.499489,0.117088,0.956202,-0.0908994,0.252401,
2025-04-29 14:08:14.912496,-5.60299,2.41947,-2.30565,-3.55798,3.69888,-0.0693586,-0.00175347,0.557041,0.116512,0.957279,-0.0848027,0.250698,0.730564,-0.227017,0.700731,0.046529,0.98117,0.0205763,-0.186326,0.129047,-0.0630567,0.498714,0.116512,0.957279,-0.0848027,0.250698,
2025-04-29 14:08:14.933610,-5.35503,2.36626,-2.22424,-3.414,3.43227,-0.069357,-0.00175141,0.557032,0.116502,0.957265,-0.0847738,0.250766,0.7318,-0.224973,0.698598,0.0824886,0.982085,0.0279528,-0.1671,0.12906,-0.0630443,0.498732,0.116502,0.957265,-0.0847738,0.250766,
2025-04-29 14:08:14.954659,-5.40431,2.28092,-2.21435,-3.43617,3.38344,-0.0693532,-0.00148667,0.556484,0.116503,0.956095,-0.0927645,0.252395,0.731678,-0.224788,0.69834,0.0840878,0.981927,0.0303569,-0.166815,0.128921,-0.0644891,0.499536,0.116503,0.956095,-0.0927645,0.252395,
2025-04-29 14:08:14.975782,-5.56827,2.45342,-2.29004,-3.56461,3.67977,-0.0693762,-0.00178867,0.557062,0.116286,0.957341,-0.0840569,0.250817,0.730565,-0.227013,0.700736,0.0465019,0.981168,0.0205653,-0.186343,0.129101,-0.0628491,0.498722,0.116286,0.957341,-0.0840569,0.250817,
2025-04-29 14:08:14.996897,-5.67911,2.07912,-2.50599,-3.76141,3.52325,-0.0693381,-0.00149076,0.556575,0.117101,0.956205,-0.0908539,0.252399,0.7294,-0.227183,0.700194,0.0458409,0.974593,0.0245657,-0.21786,0.128955,-0.0642968,0.499478,0.117101,0.956205,-0.0908539,0.252399,
2025-04-29 14:08:15.018004,-5.33571,2.40491,-2.20878,-3.44139,3.41004,-0.0693546,-0.00174814,0.55704,0.116526,0.957275,-0.0848398,0.250695,0.731769,-0.22489,0.69851,0.0831434,0.982095,0.0283232,-0.166657,0.129048,-0.0630641,0.498716,0.116526,0.957275,-0.0848398,0.250695,
2025-04-29 14:08:15.039084,-5.52963,2.37197,-2.26723,-3.54771,3.63189,-0.0694074,-0.00167313,0.556953,0.116103,0.95709,-0.0862689,0.251109,0.730564,-0.226995,0.70067,0.0458245,0.980971,0.0211029,-0.187484,0.129031,-0.0631443,0.498912,0.116103,0.95709,-0.0862689,0.251109,
2025-04-29 14:08:15.060014,-5.66207,2.31134,-2.30663,-3.55513,3.67949,-0.0693593,-0.00148123,0.556493,0.116516,0.956103,-0.0926764,0.252392,0.730548,-0.227001,0.70068,0.0459472,0.981003,0.0212191,-0.187273,0.128917,-0.0644693,0.499537,0.116516,0.956103,-0.0926764,0.252392,
2025-04-29 14:08:15.081039,-5.62411,2.31377,-2.28244,-3.57355,3.65186,-0.0693593,-0.00148123,0.556493,0.116516,0.956103,-0.0926764,0.252392,0.730548,-0.227001,0.70068,0.0459472,0.981003,0.0212191,-0.187273,0.128917,-0.0644693,0.499537,0.116516,0.956103,-0.0926764,0.252392,
2025-04-29 14:08:15.101988,-5.63631,2.32118,-2.29951,-3.55651,3.67184,-0.0693386,-0.00148965,0.556578,0.117083,0.956203,-0.0908325,0.252423,0.730551,-0.227004,0.70068,0.0459424,0.981,0.0212696,-0.187288,0.128961,-0.0642844,0.499488,0.117083,0.956203,-0.0908325,0.252423,
2025-04-29 14:08:15.122869,-5.57527,2.35347,-2.27129,-3.54632,3.63204,-0.0693356,-0.00149346,0.556581,0.117084,0.956198,-0.0908481,0.252434,0.730567,-0.226994,0.700673,0.0458723,0.980966,0.0210299,-0.187507,0.128964,-0.0642918,0.499497,0.117084,0.956198,-0.0908481,0.252434,
2025-04-29 14:08:15.143895,-5.69847,2.34134,-2.32227,-3.55779,3.71245,-0.0693542,-0.00148596,0.556484,0.116469,0.956091,-0.0928446,0.252397,0.730578,-0.227003,0.700722,0.0464952,0.981141,0.0203465,-0.18651,0.12892,-0.0644934,0.499543,0.116469,0.956091,-0.0928446,0.252397,
2025-04-29 14:08:15.164998,-5.60526,2.35779,-2.27886,-3.56774,3.65893,-0.0693396,-0.00149281,0.556575,0.117112,0.956214,-0.0907929,0.252383,0.730577,-0.227015,0.700711,0.0464583,0.981137,0.0204175,-0.186533,0.128953,-0.0642896,0.499465,0.117112,0.956214,-0.0907929,0.252383,
2025-04-29 14:08:15.185954,-5.6558,2.32863,-2.3056,-3.57517,3.68099,-0.069439,-0.00148205,0.556811,0.116852,0.956748,-0.0910897,0.250361,0.730559,-0.227021,0.700689,0.0459982,0.98097,0.0216832,-0.187382,0.128616,-0.0642653,0.498867,0.116852,0.956748,-0.0910897,0.250361,
2025-04-29 14:08:15.207053,-5.5797,2.33474,-2.26576,-3.55497,3.64046,-0.0693326,-0.00149115,0.556578,0.117109,0.956202,-0.090855,0.252404,0.730563,-0.227012,0.700731,0.0465564,0.981184,0.0206294,-0.186238,0.128961,-0.0643003,0.499483,0.117109,0.956202,-0.090855,0.252404,
2025-04-29 14:08:15.228178,-5.63882,2.36027,-2.29966,-3.55554,3.68294,-0.0693376,-0.00148708,0.556582,0.117097,0.956202,-0.0907918,0.252435,0.730579,-0.227008,0.700726,0.0465219,0.981134,0.0204522,-0.186532,0.128964,-0.0642779,0.499495,0.117097,0.956202,-0.0907918,0.252435,
2025-04-29 14:08:15.249275,-5.61211,2.31406,-2.28554,-3.5509,3.66382,-0.0693346,-0.00149037,0.556572,0.117045,0.956212,-0.0908923,0.252384,0.730578,-0.227015,0.700714,0.0464507,0.981138,0.0204696,-0.186522,0.128961,-0.0642848,0.499471,0.117045,0.956212,-0.0908923,0.252384,
2025-04-29 14:08:15.270281,-5.62613,2.35643,-2.29129,-3.56007,3.67317,-0.0693347,-0.00149106,0.556581,0.117072,0.956206,-0.0908961,0.252394,0.730576,-0.227012,0.700715,0.046487,0.981135,0.0204285,-0.186534,0.128959,-0.0642958,0.499485,0.117072,0.956206,-0.0908961,0.252394,
2025-04-29 14:08:15.291253,-5.58861,2.34051,-2.27066,-3.57566,3.63639,-0.0693573,-0.00146404,0.556546,0.116761,0.956207,-0.0912573,0.252402,0.730564,-0.226994,0.700675,0.0458962,0.980973,0.0210876,-0.187456,0.128956,-0.064235,0.499478,0.116761,0.956207,-0.0912573,0.252402,
2025-04-29 14:08:15.312259,-5.62391,2.32216,-2.28913,-3.57109,3.66819,-0.0693352,-0.00149215,0.556582,0.117095,0.95621,-0.090849,0.252384,0.730619,-0.227034,0.700792,0.0465116,0.9811,0.0207115,-0.186683,0.128957,-0.0642949,0.499478,0.117095,0.95621,-0.090849,0.252384,
2025-04-29 14:08:15.333286,-5.48114,2.32846,-2.26167,-3.46426,3.45757,-0.0693373,-0.00149356,0.556575,0.117086,0.956207,-0.0908497,0.252399,0.731775,-0.224947,0.698583,0.0824136,0.981817,0.0290767,-0.168515,0.128958,-0.0642933,0.499477,0.117086,0.956207,-0.0908497,0.252399,
2025-04-29 14:08:15.354329,-5.67303,2.32642,-2.31385,-3.59549,3.69139,-0.0693341,-0.00148966,0.556585,0.117087,0.956213,-0.0908837,0.252364,0.730606,-0.227015,0.700745,0.0460051,0.980924,0.0214019,-0.187654,0.128955,-0.0642973,0.499475,0.117087,0.956213,-0.0908837,0.252364,
2025-04-29 14:08:15.375293,-5.59527,2.40177,-2.30439,-3.56571,3.69921,-0.0693762,-0.0017831,0.557061,0.116319,0.957323,-0.0840578,0.25087,0.730583,-0.22701,0.700725,0.0465048,0.981147,0.0203877,-0.186473,0.129104,-0.0628553,0.498744,0.116319,0.957323,-0.0840578,0.25087,
2025-04-29 14:08:15.396509,-5.4301,2.30464,-2.24599,-3.46239,3.40632,-0.069336,-0.00149058,0.556575,0.117097,0.956195,-0.0908738,0.252431,0.731673,-0.224807,0.698561,0.0833088,0.981577,0.0300943,-0.169297,0.128961,-0.0642991,0.499494,0.117097,0.956195,-0.0908738,0.252431,
2025-04-29 14:08:15.417543,-5.44073,2.37271,-2.25624,-3.43775,3.47702,-0.0694086,-0.00167759,0.556955,0.116099,0.957102,-0.0862456,0.251075,0.731772,-0.224891,0.698503,0.0831517,0.982099,0.0283753,-0.166618,0.129026,-0.0631424,0.498898,0.116099,0.957102,-0.0862456,0.251075,
2025-04-29 14:08:15.438648,-5.35152,2.39689,-2.21935,-3.44767,3.42589,-0.0693546,-0.00174863,0.557048,0.116506,0.957288,-0.0847955,0.250671,0.731802,-0.224969,0.698607,0.0825997,0.982051,0.0278591,-0.167262,0.129049,-0.0630481,0.498709,0.116506,0.957288,-0.0847955,0.250671,
2025-04-29 14:08:15.459785,-5.64257,2.3404,-2.29183,-3.57921,3.66425,-0.0693355,-0.00150481,0.556518,0.116637,0.956109,-0.0926411,0.252327,0.730561,-0.226996,0.700675,0.0458786,0.980974,0.0211362,-0.187452,0.128921,-0.064529,0.499533,0.116637,0.956109,-0.0926411,0.252327,
